,n,Pi,Fehler,Operationen,Laufzeit,Algorithmus
0,1,4,0.8584073464102067615373566167204971158028306006248941790250554076921835937137910013719651746578829320178519134867176933529061553904494177682746405918715188825497158972980614788944403553770510450696180355711890243340665538715243517662132168347287980908543514330765396513895456733517866063927397508587262754129933936844118251184790790371707459082846356321074096399886694694511795334786158530480584883905669427296342404080469078138826180673882068948814519255376200372504326481142472751087720618169880508701663266375593433569139786050536047752628092978201390562972294607828237068232476153251815323305948679994318728547364391722142286572422103908263628212785315590987750465698534504146289492077203107410764579800438878709780391359655818401863702252286900394812927886500000016270219500489402682671839036814049755405446530916973574776917466553149647380688118289899968621612471134124667916185793828223308526964017465095712445312688404371361176462124062480422181422194678287731933869980721233888040907835798011,9,0E-21,montecarlo
1,1,4,0.8584073464102067615373566167204971158028306006248941790250554076921835937137910013719651746578829320178519134867176933529061553904494177682746405918715188825497158972980614788944403553770510450696180355711890243340665538715243517662132168347287980908543514330765396513895456733517866063927397508587262754129933936844118251184790790371707459082846356321074096399886694694511795334786158530480584883905669427296342404080469078138826180673882068948814519255376200372504326481142472751087720618169880508701663266375593433569139786050536047752628092978201390562972294607828237068232476153251815323305948679994318728547364391722142286572422103908263628212785315590987750465698534504146289492077203107410764579800438878709780391359655818401863702252286900394812927886500000016270219500489402682671839036814049755405446530916973574776917466553149647380688118289899968621612471134124667916185793828223308526964017465095712445312688404371361176462124062480422181422194678287731933869980721233888040907835798011,9,0E-21,montecarlo
2,3,4,0.8584073464102067615373566167204971158028306006248941790250554076921835937137910013719651746578829320178519134867176933529061553904494177682746405918715188825497158972980614788944403553770510450696180355711890243340665538715243517662132168347287980908543514330765396513895456733517866063927397508587262754129933936844118251184790790371707459082846356321074096399886694694511795334786158530480584883905669427296342404080469078138826180673882068948814519255376200372504326481142472751087720618169880508701663266375593433569139786050536047752628092978201390562972294607828237068232476153251815323305948679994318728547364391722142286572422103908263628212785315590987750465698534504146289492077203107410764579800438878709780391359655818401863702252286900394812927886500000016270219500489402682671839036814049755405446530916973574776917466553149647380688118289899968621612471134124667916185793828223308526964017465095712445312688404371361176462124062480422181422194678287731933869980721233888040907835798011,19,0E-21,montecarlo
3,6,4,0.8584073464102067615373566167204971158028306006248941790250554076921835937137910013719651746578829320178519134867176933529061553904494177682746405918715188825497158972980614788944403553770510450696180355711890243340665538715243517662132168347287980908543514330765396513895456733517866063927397508587262754129933936844118251184790790371707459082846356321074096399886694694511795334786158530480584883905669427296342404080469078138826180673882068948814519255376200372504326481142472751087720618169880508701663266375593433569139786050536047752628092978201390562972294607828237068232476153251815323305948679994318728547364391722142286572422103908263628212785315590987750465698534504146289492077203107410764579800438878709780391359655818401863702252286900394812927886500000016270219500489402682671839036814049755405446530916973574776917466553149647380688118289899968621612471134124667916185793828223308526964017465095712445312688404371361176462124062480422181422194678287731933869980721233888040907835798011,34,0E-21,montecarlo
4,12,3.6666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,0.5250740130768734282040232833871637824694972672915608456917220743588502603804576680386318413245495986845185801533843600195728220571160844349413072585381855492163825639647281455611070220437177117362847022378556910007332205381910184328798835013954647575210180997432063180562123400184532730594064175253929420796600603510784917851457457038374125749513022987740763066553361361178462001452825197147251550572336093963009070747135744805492847340548735615481185922042867039170993147809139417754387284836547175701663266375593433569139786050536047752628092978201390562972294607828237068232476153251815323305948679994318728547364391722142286572422103908263628212785315590987750465698534504146289492077203107410764579800438878709780391359655818401863702252286900394812927886500000016270219500489402682671839036814049755405446530916973574776917466553149647380688118289899968621612471134124667916185793828223308526964017465095712445312688404371361176462124062480422181422194678287731933869980721233888040907835798011,59,0E-21,montecarlo
5,23,3.3043478260869565217391304347826086956521739130434782608695652173913043478260869565217391304347826086956521739130434782608695652173913043478260869565217391304347826086956521739130434782608695652173913043478260869565217391304347826086956521739130434782608695652173913043478260869565217391304347826086956521739130434782608695652173913043478260869565217391304347826086956521739130434782608695652173913043478260869565217391304347826086956521739130434782608695652173913043478260869565217391304347826086956,0.1627551724971632832764870515031058114550045136683724398946206250834879415398779578937043050926655407135040873997611716137757206078407221161007275483932580129844985059937136528074838336379206102870093399190151112905882930019591343749088690086418415691152209982939309557373717603083083455231745334674219275869064371626726946836964703415185719952411573712378444225973651216250925769568767226132758796949147688165907621471773425964913137195621199383597127951028374285547804742012037968479024965995967464701663266375593433569139786050536047752628092978201390562972294607828237068232476153251815323305948679994318728547364391722142286572422103908263628212785315590987750465698534504146289492077203107410764579800438878709780391359655818401863702252286900394812927886500000016270219500489402682671839036814049755405446530916973574776917466553149647380688118289899968621612471134124667916185793828223308526964017465095712445312688404371361176462124062480422181422194678287731933869980721233888040907835798011,99,0E-21,montecarlo
6,45,2.7555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555556,0.3860370980342376829070878277239473286416138438195502654193890367522608507306534430724792697865615124265925309577267510915382890539950266761698038525729255618947285471463829655500040890673933993748264088732554201103778905729200926782312276097156463535900930113679047930548987710926578380517046935857181690314510507600326193259653654072736985361598088123370348044557749749932649109658285913963859560538775017148102040363975366305618263770562375495629925189068244071940117963301971693356723826274563935298336733624406566430860213949463952247371907021798609437027705392171762931767523846748184676694051320005681271452635608277857713427577896091736371787214684409012249534301465495853710507922796892589235420199561121290219608640344181598136297747713099605187072113499999983729780499510597317328160963185950244594553469083026425223082533446850352619311881710100031378387528865875332083814206171776691473035982534904287554687311595628638823537875937519577818577805321712268066130019278766111959092164201989,159,0E-21,montecarlo
7,85,3.2941176470588235294117647058823529411764705882352941176470588235294117647058823529411764705882352941176470588235294117647058823529411764705882352941176470588235294117647058823529411764705882352941176470588235294117647058823529411764705882352941176470588235294117647058823529411764705882352941176470588235294117647058823529411764705882352941176470588235294117647058823529411764705882352941176470588235294117647058823529411764705882352941176470588235294117647058823529411764705882352941176470588235294,0.1525249934690302909491213226028500569793011888601882966721142312215953584196733543131416452461182261354989723102471051176120377433905942388628758859891659413732453090627673612473815318476392803637356826300125537458312597538772929426838050700229157379131749624883043572718986145282571946280338685057850989424051583902941780596555496254060400259316944556368214046945518223923560040668511471657055472140963544943401227609880842844708533615058539537049813373023259196033738245848355104028897088758115802701663266375593433569139786050536047752628092978201390562972294607828237068232476153251815323305948679994318728547364391722142286572422103908263628212785315590987750465698534504146289492077203107410764579800438878709780391359655818401863702252286900394812927886500000016270219500489402682671839036814049755405446530916973574776917466553149647380688118289899968621612471134124667916185793828223308526964017465095712445312688404371361176462124062480422181422194678287731933869980721233888040907835798011,354,0E-21,montecarlo
8,161,3.0310559006211180124223602484472049689440993788819875776397515527950310559006211180124223602484472049689440993788819875776397515527950310559006211180124223602484472049689440993788819875776397515527950310559006211180124223602484472049689440993788819875776397515527950310559006211180124223602484472049689440993788819875776397515527950310559006211180124223602484472049689440993788819875776397515527950310559006211180124223602484472049689440993788819875776397515527950310559006211180124223602484472049690,0.1105367529686752260402831348322979152530700204931182433351930395127853503855878806156124650936698630132039871344003190694540930567555511758247382901160587572018368977329944217266776570453092033775869333729103545479210237682272010288178390658923199215680088153706653175545537055302009712470118019363047804876277243280105351299681259317733534705973519455323419128063615864494415845338065072003887165783771566492477471695928437389124129885124142231309704347108271677185114512646347124688676897358069801298336733624406566430860213949463952247371907021798609437027705392171762931767523846748184676694051320005681271452635608277857713427577896091736371787214684409012249534301465495853710507922796892589235420199561121290219608640344181598136297747713099605187072113499999983729780499510597317328160963185950244594553469083026425223082533446850352619311881710100031378387528865875332083814206171776691473035982534904287554687311595628638823537875937519577818577805321712268066130019278766111959092164201989,614,0E-21,montecarlo
9,303,3.1155115511551155115511551155115511551155115511551155115511551155115511551155115511551155115511551155115511551155115511551155115511551155115511551155115511551155115511551155115511551155115511551155115511551155115511551155115511551155115511551155115511551155115511551155115511551155115511551155115511551155115511551155115511551155115511551155115511551155115511551155115511551155115511551155115511551155115511551155115511551155115511551155115511551155115511551155115511551155115511551155115511551155116,0.0260811024346777269114882677679517290816578482199903094237894767962652511706974474729193137909619524705969313977707554919783330583954667201742042926169299623347725515468230095544045291113977998148704132736954641147783306169244931182752320101556903579905330553723052330989031715327018424521447375901186090754554512000766237264054094116741385801642092523810392048958189793937049549702290314403903564939215061152502480407979766745662268171002419500030365233072644511984122363742015697757163870278964375298336733624406566430860213949463952247371907021798609437027705392171762931767523846748184676694051320005681271452635608277857713427577896091736371787214684409012249534301465495853710507922796892589235420199561121290219608640344181598136297747713099605187072113499999983729780499510597317328160963185950244594553469083026425223082533446850352619311881710100031378387528865875332083814206171776691473035982534904287554687311595628638823537875937519577818577805321712268066130019278766111959092164201989,1184,0E-21,montecarlo
