,n,Pi,Fehler,Operationen,Laufzeit
10,117,3.141592653589793238462643383279502884197169399375105820974944592307816359489060490944093369969347861119886513152102412694400923546462408351178537974699283367230775713375419739640996116913085937130269216133767368313090990845234795179677506635176853564461419134803602190022454161319062044590781170328124388403071541209408579654755801128238318204948928183900485551061616390258657581703301055014340803236766550188508406969582738941462193646927207276701869633227346798223979057524549800602233063202022811667114840560797370722380992460449647349836184354097138601885926469735587622655573284105430681738799821085997133052055792506395018665680583507554154602117444459014212845825523673614558409408284431182102013991576364205216810813643873181607146402676669312300812614686748602093000560404554345883648020987138675876377659325251862564985713186884028278892699820042179287531236305390444141165590074068997201010064820449111617539560218814535698882404474805581289160796152767869231299211393367561227531654468192,4.67971485076839414553727692068622615733611798939526929210630881738805468214334291977502195083893265187814645635277098630178001127482950436073528424552832408530541092765300943483446842294321198581585880001653291513490164790788131493361839350651061795952267651198345909358867664361839921048089497141402901628848180830919376007083726665070818573526223703532446551882856845858284166784412350331645255882943612029242889948749809891374627188328016432859207050289344967478749010063480827223418168440694815886705211791005693877859306053109145709940932077683213907526770772061016194825766040239818870121076046228759708126413839952580768215280283797479238051500503905449782064833720946406482178945966632513962799774895465053858491680753314563485830776875830507799573225401578010069830384883509678238503075165811970890672158305431086719462935334330413171379291709407483281834713831189463764926969843794033575753137905345090499683775619520069E-71,467,79.8616409301757812500000
11,188,3.141592653589793238462643383279502884197169399375105820974944592307816406286208998628034825342117067982148086513273912820234504076806296987965135726612891999830817113440663748787779710876151053197924060883370052840267521429071779057581133416349176937275776405653413404049666679954792911577430890813450641143256894397184241252352886642696379686518077244568060090260228925525074056209996546177362732791194725288131912658657984255975477824612332520961289407422794172436816233084059214909554826485850867387463374716829423552472214547023235568627757304485966136159795253305504791270095876577602168903879567732450845030132162496598635005620410166716728905719303172303612326416843914673049196194069633402869279097796851348375808799859996569981698361938447214254317876116307677413823043038570408492359199331015974599630685210102734834971017379658367727082956624108619922628405368413110221442224486328888177018432025800570540385249428975092524286945111538317045341246341135504485508777511730972185782258495265,8.3938268593405327442852437602236815155891176194669892612747723177799337467979017324579035454409228256659246994038691762056497489220249718698721612700469445607876466934204820298293583278230834437497119184039336291680343201328744051972871233245302697511016050237464103113876007745787788182383319822338469332951079301419041079994605841572586670395857903127511188016935099816731116971610817423702986456112330906138068479231596561094333976938948075429752859116715019066565080972162987655255642681172821151313983311871363371373794424569082730021652685976126270133026349123218545982100558560542629221592607806461520641744215898319314128328627462643893352336923209591550069124893232404568969875790498598246616981999076873372359650266675348482315469013832152103475181744229869391961308487809702851662276898582150834817305877713580668424822136407365165341910357223211042244161456390101269579249339E-114,751,123.7645149230957031250000
12,303,3.141592653589793238462643383279502884197169399375105820974944592307816406286208998628034825342117067982148086513282306647093844609550582231725359408128481117450284102701938521105559639758193608919259294019540380714314035809803762060815741345935188313771035288976492375108125902302488877647100293050579074219715624598212401296184015616980675863976108969666766378241175751038316544686002845206374297804681540264977172222712535355047861685462872733257667123906318232571132080644906931653628564950546860453327518791753696898092892877858895028979492005126751989347125922229476712379460776882797730000272475912215862704873290665447018913804805830835328289114920169405943672665558605238253180245537093624361715466741235543571599168254831644103960860409190310101737159466230203228687855601798440712274716131080822265284893435783789457803653185593666317108074416005160486267574264033733880629342882210813903165638627777015347479129210078639890226601089457615389119836778960126588964291730085179018025156464711,4.8647553460111226704092705949516194103186718861729710418193360135953746132779469679735023284243457245159601599560906946503672909817173757735853369053458485782277392553982258239817701547795105039218353813017455672138047515170053885873692405568310695202471489203718608809505560617301784352712408457932375993732324650886765061545706869597449931285170875001957576986970531089543556446169876995807972916077920207376691326560883522644403902701623387524289529837783383088896065482714952812807645879443471178705467425956345618265532148765854503616957795865157096689143621196504169700518837697951442901943492612910205413801875142021941704534725188530645046001590913689448231137550048426515711786225537993277520777349668552441379596257134134079896019494842239921271865042943423927379437532111002176487101977914321778840599554879E-183,1211,188.2591247558593750000000
13,489,3.141592653589793238462643383279502884197169399375105820974944592307816406286208998628034825342117067982148086513282306647093844609550582231725359408128481117450284102701938521105559644622948954930381964428810975665933446128475648233786783165271201909145648566923460348610454326648213393607260248635562472273034053039892284499945657855478550185278830537648424815020470964454203377736198725352907725333066195383374762958252778551787173808672357835392760602703807540669494117572363278401091759836341690000684548098566845653402234539138006535209398569725181546619569443885196920779011877065872167829897933727588759408354012044614847586507121108685320049826372993508593591601850594747258030086558752018984371043127956495833122787248878506366522435488591354858572888263518050909879287922748633876597691314819429806123336984783203753530384457066722916337443296792097449240119862375595472360100133001732472807193293394495296319406878688754778357864060880279674580184188429312024594287871670065251346967414842,5.057112523139725532756958903815752631073507039064365338302441655449908595660946170887851854215990337862763668618869909966337003136343302081239394352697257874717585724220800732343133894464901361783466702591291491252638738109896837868558083886895277921324546793970832010953319793723977405076089462998395071982729793677369095487831709237562506685004883171288950954473926313618282959548381130207057209372399391709768281556331888380767855396534471073392827186056601343230864819474630987620283110978562184050037755946533320099235194387687778688876183123455937448742179056885986330242119377360213204841759366744964049600959334591493242808741091039959235328716781072775963437419147820187140562065459445622490053569E-295,1955,315.4752254486083984375000
14,788,3.141592653589793238462643383279502884197169399375105820974944592307816406286208998628034825342117067982148086513282306647093844609550582231725359408128481117450284102701938521105559644622948954930381964428810975665933446128475648233786783165271201909145648566923460348610454326648213393607260249141273724587006606315588174881520920962829254091715364367892590360011330530548820466521384146951941511609433057270365759591953092186117381932611793105118548074462379962749567351885265235454044938451320043830417070314505095854198059084536723429657930401556465022013435980168277468263585487802535866794096120771384813096482412874796441924710378820315082168599544942646171047949987001257968370949482047210004566941330981052215343283298346088017604065632192673084573925865251236377565735354996883025060921297238160788157671688690636188042218887046365191201891563613005145332180568273349513081287373605909036602449005629909906640732439633085603856570914438714524480188032088719920512231925770725135972181855764,4.874894371829997316919052994166030479355607888879623104096717950792603006233959216893345590488988249131668968722826008753090112291833140487811479529893294180474107888585550101219234982550539054801595483274026798427976420489189750786251310768066175807360720717960257091391172874341332854847487619954123145960628487077551750213568636712976752196120063342660344576386700707292966073969979925065723183141836953001332435717601107011492478605188488279987199297782784972166793132432573775925000825068861007700021058860599370345644349E-475,3151,470.394134521484375000000
15,1268,3.141592653589793238462643383279502884197169399375105820974944592307816406286208998628034825342117067982148086513282306647093844609550582231725359408128481117450284102701938521105559644622948954930381964428810975665933446128475648233786783165271201909145648566923460348610454326648213393607260249141273724587006606315588174881520920962829254091715364367892590360011330530548820466521384146951941511609433057270365759591953092186117381932611793105118548074462379962749567351885752724891227938183011949129833673362440656643086021394946395224737190702179860943702770539217176293176752384674818467669405132000568127145263560827785771342757789609173637178721468440901224953430146549585371050792279689258923542019956112129021960864034418159813629774771309960518707211349949975414599003565055728067545478274228749599590962812296509663514455988699991177188538221912896566897668968267810716980726836863924264809376429129618696286039504031122815060224239827062601865655672923797802733274575996361896431251294761,5.00229583790463860040036652706180443662748598643840960061328587937973559850440847426499490971065709410839183197224914006937803137448824942218243608100591826916555317410672935633539248951799921248592474290038797273518802492994779651254379E-764,5071,745.0659275054931640625000
16,2043,3.141592653589793238462643383279502884197169399375105820974944592307816406286208998628034825342117067982148086513282306647093844609550582231725359408128481117450284102701938521105559644622948954930381964428810975665933446128475648233786783165271201909145648566923460348610454326648213393607260249141273724587006606315588174881520920962829254091715364367892590360011330530548820466521384146951941511609433057270365759591953092186117381932611793105118548074462379962749567351885752724891227938183011949129833673362440656643086021394946395224737190702179860943702770539217176293176752384674818467669405132000568127145263560827785771342757789609173637178721468440901224953430146549585371050792279689258923542019956112129021960864034418159813629774771309960518707211349999998372978049951059731732816096318595024459455346908302642522308253344685035261931188171010003137838752886587533208381420617177669147303598253490428755468731159562863882353787593751957781857780532171226806613001927876611195909216421080,8.811E-997,8171,1111.4709377288818359375000
17,3290,3.141592653589793238462643383279502884197169399375105820974944592307816406286208998628034825342117067982148086513282306647093844609550582231725359408128481117450284102701938521105559644622948954930381964428810975665933446128475648233786783165271201909145648566923460348610454326648213393607260249141273724587006606315588174881520920962829254091715364367892590360011330530548820466521384146951941511609433057270365759591953092186117381932611793105118548074462379962749567351885752724891227938183011949129833673362440656643086021394946395224737190702179860943702770539217176293176752384674818467669405132000568127145263560827785771342757789609173637178721468440901224953430146549585371050792279689258923542019956112129021960864034418159813629774771309960518707211349999998372978049951059731732816096318595024459455346908302642522308253344685035261931188171010003137838752886587533208381420617177669147303598253490428755468731159562863882353787593751957781857780532171226806613001927876611195909216421080,8.811E-997,13159,1650.265693664550781250000
18,5298,3.141592653589793238462643383279502884197169399375105820974944592307816406286208998628034825342117067982148086513282306647093844609550582231725359408128481117450284102701938521105559644622948954930381964428810975665933446128475648233786783165271201909145648566923460348610454326648213393607260249141273724587006606315588174881520920962829254091715364367892590360011330530548820466521384146951941511609433057270365759591953092186117381932611793105118548074462379962749567351885752724891227938183011949129833673362440656643086021394946395224737190702179860943702770539217176293176752384674818467669405132000568127145263560827785771342757789609173637178721468440901224953430146549585371050792279689258923542019956112129021960864034418159813629774771309960518707211349999998372978049951059731732816096318595024459455346908302642522308253344685035261931188171010003137838752886587533208381420617177669147303598253490428755468731159562863882353787593751957781857780532171226806613001927876611195909216421080,8.811E-997,21191,2596.954345703125000000000
19,8531,3.141592653589793238462643383279502884197169399375105820974944592307816406286208998628034825342117067982148086513282306647093844609550582231725359408128481117450284102701938521105559644622948954930381964428810975665933446128475648233786783165271201909145648566923460348610454326648213393607260249141273724587006606315588174881520920962829254091715364367892590360011330530548820466521384146951941511609433057270365759591953092186117381932611793105118548074462379962749567351885752724891227938183011949129833673362440656643086021394946395224737190702179860943702770539217176293176752384674818467669405132000568127145263560827785771342757789609173637178721468440901224953430146549585371050792279689258923542019956112129021960864034418159813629774771309960518707211349999998372978049951059731732816096318595024459455346908302642522308253344685035261931188171010003137838752886587533208381420617177669147303598253490428755468731159562863882353787593751957781857780532171226806613001927876611195909216421080,8.811E-997,34123,3935.160160064697265625000
