,n,Pi,Fehler,Operationen,Laufzeit
0,1,4,0.8584073464102067615373566167204971158028306006248941790250554076921835937137910013719651746578829320178519134867176933529061553904494177682746405918715188825497158972980614788944403553770510450696180355711890243340665538715243517662132168347287980908543514330765396513895456733517866063927397508587262754129933936844118251184790790371707459082846356321074096399886694694511795334786158530480584883905669427296342404080469078138826180673882068948814519255376200372504326481142472751087720618169880508701663266375593433569139786050536047752628092978201390562972294607828237068232476153251815323305948679994318728547364391722142286572422103908263628212785315590987750465698534504146289492077203107410764579800438878709780391359655818401863702252286900394812927886500000016270219500489402682671839036814049755405446530916973574776917466553149647380688118289899968621612471134124667916185793828223308526964017465095712445312688404371361176462124062480422181422194678287731933869980721233888040907835798011,9,0E-22
1,1,4,0.8584073464102067615373566167204971158028306006248941790250554076921835937137910013719651746578829320178519134867176933529061553904494177682746405918715188825497158972980614788944403553770510450696180355711890243340665538715243517662132168347287980908543514330765396513895456733517866063927397508587262754129933936844118251184790790371707459082846356321074096399886694694511795334786158530480584883905669427296342404080469078138826180673882068948814519255376200372504326481142472751087720618169880508701663266375593433569139786050536047752628092978201390562972294607828237068232476153251815323305948679994318728547364391722142286572422103908263628212785315590987750465698534504146289492077203107410764579800438878709780391359655818401863702252286900394812927886500000016270219500489402682671839036814049755405446530916973574776917466553149647380688118289899968621612471134124667916185793828223308526964017465095712445312688404371361176462124062480422181422194678287731933869980721233888040907835798011,9,0E-22
2,1,0,3.1415926535897932384626433832795028841971693993751058209749445923078164062862089986280348253421170679821480865132823066470938446095505822317253594081284811174502841027019385211055596446229489549303819644288109756659334461284756482337867831652712019091456485669234603486104543266482133936072602491412737245870066063155881748815209209628292540917153643678925903600113305305488204665213841469519415116094330572703657595919530921861173819326117931051185480744623799627495673518857527248912279381830119491298336733624406566430860213949463952247371907021798609437027705392171762931767523846748184676694051320005681271452635608277857713427577896091736371787214684409012249534301465495853710507922796892589235420199561121290219608640344181598136297747713099605187072113499999983729780499510597317328160963185950244594553469083026425223082533446850352619311881710100031378387528865875332083814206171776691473035982534904287554687311595628638823537875937519577818577805321712268066130019278766111959092164201989,4,0E-22
3,1,0,3.1415926535897932384626433832795028841971693993751058209749445923078164062862089986280348253421170679821480865132823066470938446095505822317253594081284811174502841027019385211055596446229489549303819644288109756659334461284756482337867831652712019091456485669234603486104543266482133936072602491412737245870066063155881748815209209628292540917153643678925903600113305305488204665213841469519415116094330572703657595919530921861173819326117931051185480744623799627495673518857527248912279381830119491298336733624406566430860213949463952247371907021798609437027705392171762931767523846748184676694051320005681271452635608277857713427577896091736371787214684409012249534301465495853710507922796892589235420199561121290219608640344181598136297747713099605187072113499999983729780499510597317328160963185950244594553469083026425223082533446850352619311881710100031378387528865875332083814206171776691473035982534904287554687311595628638823537875937519577818577805321712268066130019278766111959092164201989,4,0E-22
4,1,4,0.8584073464102067615373566167204971158028306006248941790250554076921835937137910013719651746578829320178519134867176933529061553904494177682746405918715188825497158972980614788944403553770510450696180355711890243340665538715243517662132168347287980908543514330765396513895456733517866063927397508587262754129933936844118251184790790371707459082846356321074096399886694694511795334786158530480584883905669427296342404080469078138826180673882068948814519255376200372504326481142472751087720618169880508701663266375593433569139786050536047752628092978201390562972294607828237068232476153251815323305948679994318728547364391722142286572422103908263628212785315590987750465698534504146289492077203107410764579800438878709780391359655818401863702252286900394812927886500000016270219500489402682671839036814049755405446530916973574776917466553149647380688118289899968621612471134124667916185793828223308526964017465095712445312688404371361176462124062480422181422194678287731933869980721233888040907835798011,9,0E-22
5,2,4,0.8584073464102067615373566167204971158028306006248941790250554076921835937137910013719651746578829320178519134867176933529061553904494177682746405918715188825497158972980614788944403553770510450696180355711890243340665538715243517662132168347287980908543514330765396513895456733517866063927397508587262754129933936844118251184790790371707459082846356321074096399886694694511795334786158530480584883905669427296342404080469078138826180673882068948814519255376200372504326481142472751087720618169880508701663266375593433569139786050536047752628092978201390562972294607828237068232476153251815323305948679994318728547364391722142286572422103908263628212785315590987750465698534504146289492077203107410764579800438878709780391359655818401863702252286900394812927886500000016270219500489402682671839036814049755405446530916973574776917466553149647380688118289899968621612471134124667916185793828223308526964017465095712445312688404371361176462124062480422181422194678287731933869980721233888040907835798011,14,0E-22
6,2,2.0,1.1415926535897932384626433832795028841971693993751058209749445923078164062862089986280348253421170679821480865132823066470938446095505822317253594081284811174502841027019385211055596446229489549303819644288109756659334461284756482337867831652712019091456485669234603486104543266482133936072602491412737245870066063155881748815209209628292540917153643678925903600113305305488204665213841469519415116094330572703657595919530921861173819326117931051185480744623799627495673518857527248912279381830119491298336733624406566430860213949463952247371907021798609437027705392171762931767523846748184676694051320005681271452635608277857713427577896091736371787214684409012249534301465495853710507922796892589235420199561121290219608640344181598136297747713099605187072113499999983729780499510597317328160963185950244594553469083026425223082533446850352619311881710100031378387528865875332083814206171776691473035982534904287554687311595628638823537875937519577818577805321712268066130019278766111959092164201989,9,0E-22
7,3,4,0.8584073464102067615373566167204971158028306006248941790250554076921835937137910013719651746578829320178519134867176933529061553904494177682746405918715188825497158972980614788944403553770510450696180355711890243340665538715243517662132168347287980908543514330765396513895456733517866063927397508587262754129933936844118251184790790371707459082846356321074096399886694694511795334786158530480584883905669427296342404080469078138826180673882068948814519255376200372504326481142472751087720618169880508701663266375593433569139786050536047752628092978201390562972294607828237068232476153251815323305948679994318728547364391722142286572422103908263628212785315590987750465698534504146289492077203107410764579800438878709780391359655818401863702252286900394812927886500000016270219500489402682671839036814049755405446530916973574776917466553149647380688118289899968621612471134124667916185793828223308526964017465095712445312688404371361176462124062480422181422194678287731933869980721233888040907835798011,19,0E-22
8,3,2.666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,0.4749259869231265717959767166128362175305027327084391543082779256411497396195423319613681586754504009821480865132823066470938446095505822317253594081284811174502841027019385211055596446229489549303819644288109756659334461284756482337867831652712019091456485669234603486104543266482133936072602491412737245870066063155881748815209209628292540917153643678925903600113305305488204665213841469519415116094330572703657595919530921861173819326117931051185480744623799627495673518857527248912279381830119491298336733624406566430860213949463952247371907021798609437027705392171762931767523846748184676694051320005681271452635608277857713427577896091736371787214684409012249534301465495853710507922796892589235420199561121290219608640344181598136297747713099605187072113499999983729780499510597317328160963185950244594553469083026425223082533446850352619311881710100031378387528865875332083814206171776691473035982534904287554687311595628638823537875937519577818577805321712268066130019278766111959092164201989,14,0E-22
9,4,3.00,0.1415926535897932384626433832795028841971693993751058209749445923078164062862089986280348253421170679821480865132823066470938446095505822317253594081284811174502841027019385211055596446229489549303819644288109756659334461284756482337867831652712019091456485669234603486104543266482133936072602491412737245870066063155881748815209209628292540917153643678925903600113305305488204665213841469519415116094330572703657595919530921861173819326117931051185480744623799627495673518857527248912279381830119491298336733624406566430860213949463952247371907021798609437027705392171762931767523846748184676694051320005681271452635608277857713427577896091736371787214684409012249534301465495853710507922796892589235420199561121290219608640344181598136297747713099605187072113499999983729780499510597317328160963185950244594553469083026425223082533446850352619311881710100031378387528865875332083814206171776691473035982534904287554687311595628638823537875937519577818577805321712268066130019278766111959092164201989,19,0E-22
