,Algorithmus,n,Fehler (log10),Laufzeit (ms),Operationen
105,chudnovsky,35,-510.266703904606,16984.9171638489,7095
106,chudnovsky,45,-652.135779520995,22132.3339939117,11365
107,chudnovsky,57,-822.365417383650,27445.2826976776,17809
108,chudnovsky,72,-1035.13970909408,34820.3754425049,27889
109,chudnovsky,92,-1318.82493266493,44228.8076877594,44829
110,chudnovsky,117,-1673.41758234169,56091.1045074463,71629
111,chudnovsky,148,-2000.04575749056,72561.4233016968,113541
112,chudnovsky,188,-2000.04575749056,90279.7694206238,181821
113,chudnovsky,239,-2000.04575749056,113979.406833649,292083
114,chudnovsky,303,-2000.04575749056,144362.133741379,467251
115,chudnovsky,385,-2000.04575749056,185120.011091232,751545
116,chudnovsky,489,-2000.04575749056,237991.242408752,1208833
117,chudnovsky,621,-2000.04575749056,299899.581432343,1944997
118,chudnovsky,788,-2000.04575749056,375691.028356552,3126021
119,chudnovsky,1000,-2000.04575749056,480978.286981583,5027025
