,n,Pi,Fehler,Operationen,Laufzeit
0,1,3.141592653589793238462643383587350688475866345996374315654905806801301450565203591105830910219290929081568436487086893567409961028317858086072809205711988513194092472346829270948630872606605731187540735805807986737347337821627344648090437229713018599278704315706396953384799127962307896878516257159975075828112733396627474930449361112537208451127125263001142132748108980760996974340210866997706852877219314654453248716495805457729229275224147006356468422244046393367154127503855325548306477270852614578118185498555324262104719451828277760359121212184593671615228359620348887241832003597488963643575177877443389960621988950210185037835802111852117911999596315442738539405415882489519950166268007756051005255893834844103151439158222041409858256974054668314468499397476557619106604817968939344444974841268509372689426045096180622338177697553361279617718242055719040189768072008931805630202276473030215187721416772739615409402621349988186821105931698407674787944233746901563207361807159040669610589210638,3.078478042786969466212684946799612144934850442789945924777960848771738610994203499738045869203161164187672758543474497975835073957438083696448907498430712279836567762571587713769970110714138916931516964143036540644418166901330557487829366047743448013140945032712560080187013512411061270810393000489284401497079543594117608951085517727367784502121765078188267200457653412677862573840874891245427132716118473426123539012379203477816664306175867756181026006570785390878406654482845121361146676190186980568818825356219305100047327279124578204031725940650796189226704959741700458768752628153584281224244136950780125026784807332781278745415135859752693329041488993739883184971274632359377227150811905751238038815962284822027447077957612880474765592461285548669092076116288785226734849132340791367935381000299243528683260176865300710457159023510151854213985972487816592953610678841231632823108599406714617871243044673183379464498929301637015756747565943598792824294737013727904391E-28,57,101.3371944427490234375000
1,1,3.141592653589793238462643383587350688475866345996374315654905806801301450565203591105830910219290929081568436487086893567409961028317858086072809205711988513194092472346829270948630872606605731187540735805807986737347337821627344648090437229713018599278704315706396953384799127962307896878516257159975075828112733396627474930449361112537208451127125263001142132748108980760996974340210866997706852877219314654453248716495805457729229275224147006356468422244046393367154127503855325548306477270852614578118185498555324262104719451828277760359121212184593671615228359620348887241832003597488963643575177877443389960621988950210185037835802111852117911999596315442738539405415882489519950166268007756051005255893834844103151439158222041409858256974054668314468499397476557619106604817968939344444974841268509372689426045096180622338177697553361279617718242055719040189768072008931805630202276473030215187721416772739615409402621349988186821105931698407674787944233746901563207361807159040669610589210638,3.078478042786969466212684946799612144934850442789945924777960848771738610994203499738045869203161164187672758543474497975835073957438083696448907498430712279836567762571587713769970110714138916931516964143036540644418166901330557487829366047743448013140945032712560080187013512411061270810393000489284401497079543594117608951085517727367784502121765078188267200457653412677862573840874891245427132716118473426123539012379203477816664306175867756181026006570785390878406654482845121361146676190186980568818825356219305100047327279124578204031725940650796189226704959741700458768752628153584281224244136950780125026784807332781278745415135859752693329041488993739883184971274632359377227150811905751238038815962284822027447077957612880474765592461285548669092076116288785226734849132340791367935381000299243528683260176865300710457159023510151854213985972487816592953610678841231632823108599406714617871243044673183379464498929301637015756747565943598792824294737013727904391E-28,57,95.6649780273437500000000
2,1,3.141592653589793238462643383587350688475866345996374315654905806801301450565203591105830910219290929081568436487086893567409961028317858086072809205711988513194092472346829270948630872606605731187540735805807986737347337821627344648090437229713018599278704315706396953384799127962307896878516257159975075828112733396627474930449361112537208451127125263001142132748108980760996974340210866997706852877219314654453248716495805457729229275224147006356468422244046393367154127503855325548306477270852614578118185498555324262104719451828277760359121212184593671615228359620348887241832003597488963643575177877443389960621988950210185037835802111852117911999596315442738539405415882489519950166268007756051005255893834844103151439158222041409858256974054668314468499397476557619106604817968939344444974841268509372689426045096180622338177697553361279617718242055719040189768072008931805630202276473030215187721416772739615409402621349988186821105931698407674787944233746901563207361807159040669610589210638,3.078478042786969466212684946799612144934850442789945924777960848771738610994203499738045869203161164187672758543474497975835073957438083696448907498430712279836567762571587713769970110714138916931516964143036540644418166901330557487829366047743448013140945032712560080187013512411061270810393000489284401497079543594117608951085517727367784502121765078188267200457653412677862573840874891245427132716118473426123539012379203477816664306175867756181026006570785390878406654482845121361146676190186980568818825356219305100047327279124578204031725940650796189226704959741700458768752628153584281224244136950780125026784807332781278745415135859752693329041488993739883184971274632359377227150811905751238038815962284822027447077957612880474765592461285548669092076116288785226734849132340791367935381000299243528683260176865300710457159023510151854213985972487816592953610678841231632823108599406714617871243044673183379464498929301637015756747565943598792824294737013727904391E-28,57,110.2447509765625000000000
3,2,3.141592653589793238462643383279502884197167678854846287912727790370642977335176958726922911495373797085148288283429580938084201976736722782845176808063266464709427777612186511944343644032215434817364498373252736342848463373494607816555413528695806011321921142724234418075923552223154228912681187367465354354020634944118900064316068211487508245804880372571124210918677572683756535316687139790637867756333960026451865504817573940220405464230455702112241916190630696639404905930719060650071401593232957689626081604765920423469150062307472142713812155733195339935425030753808718512973251822414173318202378220521581814609488380689083389365705934230621306411922750820951809298487650125110966034253353979680088246831348651013670864911314801139160912934256575382449143198023612581137300626567213789774884286283633483024936089102215484370950523880822696098749576601022226242816285122753762368992394716683707564456771554212214014346677005916526357767006393881645208471914025022727921837313136558187834442897438,1.7205202595330622168019371734289510320399011119138467432708969997982298527257090096426328138594488801826000652146527408563250897520091612160005907335201130174660555582393230849827549810404172313696365753958978237274241992259305345307744250591646945790617738083702329859713714692748172048527513417458459104839953214661490926529578650639312046970071613036438530990972439138940871355182458969764683813374030063061582717492661101624459550336642411565365897789914402075917576747362196168713326389230820233785464466656037673455084633675746637791328524042943512027537800465453306540724470966879533920836749430158723095456900802731441316588994602600847580263352792434537731247634780082899991231033586744688618370533851362580681519763857918407493244925179430412120323113909764304108192004270379373028208042125658324385944089809115959366014647794460124282224609854397391414819362165414543844825569473559960205873580761366493086181462040786911646147400530080747735227609E-42,99,157.2861671447753906250000
4,2,3.141592653589793238462643383279502884197167678854846287912727790370642977335176958726922911495373797085148288283429580938084201976736722782845176808063266464709427777612186511944343644032215434817364498373252736342848463373494607816555413528695806011321921142724234418075923552223154228912681187367465354354020634944118900064316068211487508245804880372571124210918677572683756535316687139790637867756333960026451865504817573940220405464230455702112241916190630696639404905930719060650071401593232957689626081604765920423469150062307472142713812155733195339935425030753808718512973251822414173318202378220521581814609488380689083389365705934230621306411922750820951809298487650125110966034253353979680088246831348651013670864911314801139160912934256575382449143198023612581137300626567213789774884286283633483024936089102215484370950523880822696098749576601022226242816285122753762368992394716683707564456771554212214014346677005916526357767006393881645208471914025022727921837313136558187834442897438,1.7205202595330622168019371734289510320399011119138467432708969997982298527257090096426328138594488801826000652146527408563250897520091612160005907335201130174660555582393230849827549810404172313696365753958978237274241992259305345307744250591646945790617738083702329859713714692748172048527513417458459104839953214661490926529578650639312046970071613036438530990972439138940871355182458969764683813374030063061582717492661101624459550336642411565365897789914402075917576747362196168713326389230820233785464466656037673455084633675746637791328524042943512027537800465453306540724470966879533920836749430158723095456900802731441316588994602600847580263352792434537731247634780082899991231033586744688618370533851362580681519763857918407493244925179430412120323113909764304108192004270379373028208042125658324385944089809115959366014647794460124282224609854397391414819362165414543844825569473559960205873580761366493086181462040786911646147400530080747735227609E-42,99,141.2727832794189453125000
5,3,3.141592653589793238462643383279502884197169399375105820984947408020662452789717346364103622321101908145761958711621803830906632584385013272905572935094073834330282590695606206750878088977585378240037011885191871153021728219066382058814583197001500113002382543853527462773685309032298579988266777678454861105598783377566995878920457143999562634287177728456703671675065722241658665878144220118399050727228184330238002878424470781119658557372654689343400066754735454645487954309184246076477542306100349379583309788913604635183324857605028285046548670835258378030460363842418039852956833081781992275278676868010788636812770887810086527631599610606636391466719107332714198964987284808848123646921847207736923661407607368357675641693984647683964771755856708616554899368141678526196234622489896027912138891287979390031455718513217073602138519748159687032635123823052979569500372301746424038959270717530076566047139087094927068441829187211044237203554466191008728985955527791916116895796135402515175892196863,1.00028157128460465035083477360687969789848401636138721983394971838127879748344310411802135269655927168799984879936676856453184443546364233096550474563808954870882820905907338250278000317302982038567339769300671141632309823840851863810065285371811365185921770619788209973995361811703085425718133605641133116637351916928381993567600731664575391177951270598722432864713785950022766247608615842248519922923554918959206024234315211852496041230884002497496364264729479920973034626586330603093579686553974343276898246252417466762044484069635246058735448674426614915492100600243151848738100014329992127452506664314892455348407352234770728546421579488133816414514952393357147776595664878703349969845467480978476880181416801532181846714301642950960425726929549305761088102105745512938851750631244251014469528130498417307474857142132156575386535398609292624488855966661715997106696243471618834159607142332268712054233565651095038938682587913192666757766641E-56,151,189.7792816162109375000
6,4,3.141592653589793238462643383279502884197169399375105820974944592307816346694690247717268165239156011010015587626276348861842488610571179341644709683629522262817640415169597382912458425256758526337041202027574511863839062153924537935291263652228206611677088285395351597829985702666638280267791051582465048125344152445029394772751571262973630942299124316362282710959409088261159289082595329675897987655282563111739646041793487123619609561412050987337583641662203039885767700959056870758489142967639128249167209186678586038878999681755878279787805883880302934997338140405558473581568636612842268726069388272598592175524325258604413714480124663931417908042704789067670578529975654581900856527189374998009751944553517438380450196202088725796015110333102960397697337042645121786742369595945087915655155748962124498716808145538354283646403604840577060763870656556023523689645005173023861232788990143096505375576592432655016003023006519262198032446727720455178231770747253897644903296731989295243111541720992,5.95915187509107666601029610569721324988870059577852513559989794028900806497244989588546326436875323411381931012193661904285933407624012364638020943839745511102984955195130429952974685602815281087507804686239815751133394691975588086764616624538705587801087693496998556231494162400515303076490519214422876611774387888172760435239541504941586261135501596050624977723711997421177809644328001769228637996509266958541327387952153728208806664641757620706042070217131905169449493848182995580087054323988116178195951837480619761989433357437279695349697392355691813576282776649452422192706787636518335543749001708950034701942650903142609137900754025946906415106678323294340176146644382070001210098743073548765862356803551146438171609405696328999607385387627642882386618497398444582011673175144539796141491078814145093471486316270345726419280216610577737394657081530436016843213408660315026036260097849173291617097051958873159527976746992069E-71,213,250.771045684814453125000
7,5,3.141592653589793238462643383279502884197169399375105820974944592307816406286208998628395732194831867177390049639574689305510636004390747077231926891559216092522385944838404959506216032282787338210498562422351126498678715142015502925526103127074572801572878358196503032084164132683308114135974949622643667581149472789194437887608856872782790107042380331782394422554299680586476794987771914263668612063178714716970673867773588562801287826765998204714558572802249000026896546070923856306808241013889144964944442527667932558959389966666162644654561290030311187742662218954707391527224189805744121328417943771158573838502313603352505408938795276392065677413286449749968759385483206845061221018077524104873065964307245480544642801503629774816194765315435629292499478386767621293487270771221066225125288282353609303359588919141999426812901236752759492282819416592108514537390653280289255746354002932090279302070043680589870802956833118333445679940811496705183697619636586481527819916338918147475289571870273,3.609068527147991952419631262923826584167913948401648455065674834307349750721018421364664384006563876598383832801165979935401508327452690135398546917393199618033708924272297912730426834737098060350947205287147004813699429941428664736062630060879359099535360153270159638898040625429691500376563284663877673117271004537456574466049142758204963766839058941542050995960104983398690372773291941851711314155803028308771958351107691652272759158733685717197674199173705878504502440398916797375310983504718051309256536590128117705904466932387527755667340661810056672184284986918180088487438059553366572596901702257978348459495239443511333515226819374692116150025649905441256687737922670367676229205092208201613344923091919637585848439042420108393569045046478920677242303516312455821053766986377666927560473649333857544211319984717901901611153342256735554695633261532177447474018398391044152547212069144110415362793803554500741E-85,285,299.632072448730468750000
8,6,3.141592653589793238462643383279502884197169399375105820974944592307816406286208998628034825342117065770378113763396398021111533715902089306265674288389712255347825884645335956681302600474584270772881918666484705866044952276752721467557871612269058219754765494916379948197203142469436696928503225761012724406144714595535567549783245109844323920940743579388558082562734967137801547218231698749510132547259860290091536278519003049933547515914372887463826378973055471743782107786064646290287644767358817081748142247734418939591091908296007191776302741485112045732637578093761046246476291635924335835440105448145549550074737839515124152871776158361586138819622651339199513604657293500967287119651861094805599483959386855047783549070753295879703003884033356444400406699036089753341973816855872452510216276573568253922149780856894513970036133462210191324653322229530892089847587666730840585986129717236750203623512573904976602830608425848687416201514009191364677986799330843835702818808233543149852390366397,2.2117699727498859086259823108936484929254596851197387688621024582180566025644242570441483646841575000457623262697998884938517229267662289115530021436893908830720070804004132511841787766966787570233802610001808618917200526073317376758529849301707746207885040322774485955634110189193031524482024313790621731969802742233134340891361838344166974202176547216954893244910057852440996880786009402934156531320480855311147062377034949294866503880329608879606947488979701329611234152469302760930388941318339650265524225775951888229882706471898860134508120510399018457895620254398254892560844037636726278281641179425359967252739741773149636648639339267708872766040743068046509639086196360761342038592803058800420214562055331971274457480083382172112228250706065348487804722457489052989208023677954344874604323970999747409165237788659005511370151949375860797427664171797937328403829709101831196430680460568260538019E-99,367,360.939502716064453125000
9,8,3.141592653589793238462643383279502884197169399375105820974944592307816406286208998628034825342117067982148086513282306647093844524404865041576347234303112381491301622191828728901697937420558220376682332624260418651548435133696770560468616315611215603950418035640360479576719397040473518493303902347020295668070317726321744917062150405732076328801480968671545315074608869611044486892029692761861539128687616120980492535526016129128146302133418260706608326101499743213438274759920871383068813145932094390841047914969950894327328351799143159138314427159267325318260269079045819302633618450030404601366890034441592155083193034127967071421206129944824019749112839043840697828110342027270433552712519278587495898355962855134881268992223323394212180229428032175953599229380179702206200321964296985659080521557018400029874362815038782197887010194270893552616947505270275268187545661481196204579137866748857058650991153680708458213301048920042527376525936010315356727693520440419838682181206337969239677306191,8.51457171901490121738253687359589824805101097922038617072023907345536996318045505570143850109947788776733181668496599863051952305312830998690337349296077398751139563467942534289189362885892664299644587705570971777629138833992210450449367216609377759796293544541900799724807454411493852670564270760569892356304783748444119397483608802195361290771258318535081591250370798547389926254474707057487586930431472520655988762750205936183845102701381304738741187662247880630680382419661265349901803677936578042713365834792288131589723556018573842556020362075581006172395671699803360461216001492738870795950421948364194175945418819283427536121206198186707718496290954347471570157970380060594254725454876037401103663344907643683785712235047328625705653409260520121768414793109202902449472623367480470105178585139438398264110678159474665010528386507863867743197466702732266695391140079E-128,561,460.4523181915283203125000
