,n,Pi,Fehler,Operationen,Laufzeit,Algorithmus
0,1,0,3.141592653589793238462643383279502884197169399375105820974944592307816406286208998628034825342117067982148086513282306647093844609550582231725359408128481117450284102701938521105559644622948954930381964428810975665933446128475648233786783165271201909145648566923460348610454326648213393607260249141273724587006606315588174881520920962829254091715364367892590360011330530548820466521384146951941511609433057270365759591953092186117381932611793105118548074462379962749567351885752724891227938183011949129833673362440656643086021394946395224737190702179860943702770539217176293176752384674818467669405132000568127145263560827785771342757789609173637178721468440901224953430146549585371050792279689258923542019956112129021960864034418159813629774771309960518707211349999998372978049951059731732816096318595024459455346908302642522308253344685035261931188171010003137838752886587533208381420617177669147303598253490428755468731159562863882353787593751957781857780532171226806613001927876611195909216420198938095257201065485863278865936153381827968230301952035301852968995773622599413891249721775283479131515574857242454150695950829533116861727855889075098381754637464939319255060400927701671139009848824012858361603563707660104710181942955596198946767837449448255379774726847104047534646208046684259069491293313677028989152104752162056966024058038150193511253382430035587640247496473263914199272604269922796782354781636009341721641219924586315030286182974555706749838505494588586926995690927210797509302955321165344987202755960236480665499119881834797753566369807426542527862551818417574672890977772793800081647060016145249192173217214772350141441973568548161361157352552133475741849468438523323907394143334547762416862518983569485562099219222184272550254256887671790494601653466804988627232791786085784383827967976681454100953883786360950680064225125205117392984896084128488626945604241965285022210661186306744278622039194945047123713786960956364371917287467764657573962413890865832645995813390478027590099,4,0E-22,montecarlo
1,1,4,0.858407346410206761537356616720497115802830600624894179025055407692183593713791001371965174657882932017851913486717693352906155390449417768274640591871518882549715897298061478894440355377051045069618035571189024334066553871524351766213216834728798090854351433076539651389545673351786606392739750858726275412993393684411825118479079037170745908284635632107409639988669469451179533478615853048058488390566942729634240408046907813882618067388206894881451925537620037250432648114247275108772061816988050870166326637559343356913978605053604775262809297820139056297229460782823706823247615325181532330594867999431872854736439172214228657242210390826362821278531559098775046569853450414628949207720310741076457980043887870978039135965581840186370225228690039481292788650000001627021950048940268267183903681404975540544653091697357477691746655314964738068811828989996862161247113412466791618579382822330852696401746509571244531268840437136117646212406248042218142219467828773193386998072123388804090783579801061904742798934514136721134063846618172031769698047964698147031004226377400586108750278224716520868484425142757545849304049170466883138272144110924901618245362535060680744939599072298328860990151175987141638396436292339895289818057044403801053232162550551744620225273152895952465353791953315740930508706686322971010847895247837943033975941961849806488746617569964412359752503526736085800727395730077203217645218363990658278358780075413684969713817025444293250161494505411413073004309072789202490697044678834655012797244039763519334500880118165202246433630192573457472137448181582425327109022227206199918352939983854750807826782785227649858558026431451838638842647447866524258150531561476676092605856665452237583137481016430514437900780777815727449745743112328209505398346533195011372767208213914215616172032023318545899046116213639049319935774874794882607015103915871511373054395758034714977789338813693255721377960805054952876286213039043635628082712532235342426037586109134167354004186609521972409901,9,0E-22,montecarlo
2,3,2.6666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,0.474925986923126571795976716612836217530502732708439154308277925641149739619542331961368158675450401315481419846615639980427177942883915565058692741461814450783617436035271854438892977956282288263715297762144308999266779461808981567120116498604535242478981900256793681943787659981546726940593582474607057920339939648921508214854254296162587425048697701225923693344663863882153799854717480285274844942766390603699092925286425519450715265945126438451881407795713296082900685219086058224561271516345282463167006695773989976419354728279728558070524035513194277036103872550509626510085718008151801002738465333901460478596894161119104676091122942506970512054801774234558286763479882918704384125613022592256875353289445462355294197367751493146963108104643293852040544683333331706311383284393065066149429651928357792788680241635975855641586678018368595264521504343336471172086219920866541714753950511002480636931586823762088802064492896197215687120927085291115191113865504560139946335261209944529242549753532271428590534398819196612199269486715161301563635285368635186302329106955932747224583055108616812464848908190575787484029284162866450195061189222408431715087970798272652588393734261035004472343182157346191694936897040993438043515276288929532280101170782781588713108060180437380867979541380017592402824626647010362322485438085495390299357391371483526844586715763368920973580829806597247532605937603256130115688114969342675054974553257919648363619516307889040083171838827921920260329024260544130842636288654498678320536089293569813998832453215168131086899703140759875861195885151750908006224311106127133414980393349478582525506550548105683474775306901881494694490685885466809075182801771856657240727476667881095750195852316902818895432552555517605883587590221005123827934986800138321960566125119419117717161301310014787434287217119694284013397558458538450726318229417461821960278937575298618355543994519640077611955372528278380457047120294289697705250620801097990907295747224199165979329146723811360923399,14,0E-22,montecarlo
3,6,4,0.858407346410206761537356616720497115802830600624894179025055407692183593713791001371965174657882932017851913486717693352906155390449417768274640591871518882549715897298061478894440355377051045069618035571189024334066553871524351766213216834728798090854351433076539651389545673351786606392739750858726275412993393684411825118479079037170745908284635632107409639988669469451179533478615853048058488390566942729634240408046907813882618067388206894881451925537620037250432648114247275108772061816988050870166326637559343356913978605053604775262809297820139056297229460782823706823247615325181532330594867999431872854736439172214228657242210390826362821278531559098775046569853450414628949207720310741076457980043887870978039135965581840186370225228690039481292788650000001627021950048940268267183903681404975540544653091697357477691746655314964738068811828989996862161247113412466791618579382822330852696401746509571244531268840437136117646212406248042218142219467828773193386998072123388804090783579801061904742798934514136721134063846618172031769698047964698147031004226377400586108750278224716520868484425142757545849304049170466883138272144110924901618245362535060680744939599072298328860990151175987141638396436292339895289818057044403801053232162550551744620225273152895952465353791953315740930508706686322971010847895247837943033975941961849806488746617569964412359752503526736085800727395730077203217645218363990658278358780075413684969713817025444293250161494505411413073004309072789202490697044678834655012797244039763519334500880118165202246433630192573457472137448181582425327109022227206199918352939983854750807826782785227649858558026431451838638842647447866524258150531561476676092605856665452237583137481016430514437900780777815727449745743112328209505398346533195011372767208213914215616172032023318545899046116213639049319935774874794882607015103915871511373054395758034714977789338813693255721377960805054952876286213039043635628082712532235342426037586109134167354004186609521972409901,34,0E-22,montecarlo
4,12,3.3333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,0.191740679743540094870689950053830449136163933958227512358388741025516927047124334705298507991216265351185246820051026686239488723782751101607973925204852215883049230631394812227773688710384378402951368904522357667399887204857685099546550168062131424187684766409872984722879006685119939726073084192059608746326727017745158451812412370504079241617968965440742973322002802784512866811949186381391821723900276062967573741380241147215951400721540228214785258870953370583765981447580608442105395150321384203499659970892676690247311938386938108596142631153472389630562794116157040156580948658514865663928201332765206188069772505547561990575543724159696154611864892432108379903186783747962282541053644074409791313377221204311372469298915173519703558562023372814626121983333334960355283382273601600517237014738308873877986425030690811025079988648298071402145162323330195494580446745800124951912716155664186029735079842904577864602173770469450979545739581375551475552801162106526720331405456722137424116913134395238076132267847470054467397179951505365103031381298031480364337559710733919442083611558049854201817758476090879182637382503800216471605477444258234951578695868394014078272932405631662194323484509320474971729769625673228623151390377737134386565495883885077953558606486229285798687125286649074263842040019656304344181228581171276367309275295183139822079950903297745693085836860069419134060729063410536550978551697323991611692113408747018303047150358777626583494827838744746406337642406122535824030378012167988346130577373096852667834213451498535579766963525906790805470781514915758660442355560539533251686273317188084141160116118560983191891359764785171972175980781199857591483864894810009425939189998785570916470814349763847771234114111149060783079076445661542838731679866528344706100541547247548949505365356651879232379449546972382653269108208128215940348437249204844706387729091368048311122672147026589054711294138388286209619546372376968961416045865568675759370919442467500687337519942855305743201,54,0E-22,montecarlo
5,23,3.1304347826086956521739130434782608695652173913043478260869565217391304347826086956521739130434782608695652173913043478260869565217391304347826086956521739130434782608695652173913043478260869565217391304347826086956521739130434782608695652173913043478260869565217391304347826086956521739130434782608695652173913043478260869565217391304347826086956521739130434782608695652173913043478260869565217391304347826086956521739130434782608695652173913043478260869565217391304347826086956521739130434782608695652173913043478260869565217391304347826086956521739130434782608695652173913043478260869565217391304347826086956521739130434782608695652173913043478260869565217391304347826086956521739130434782608695652173913043478260869565217391304347826086956521739130434782608695652173913043478260869565217391304347826086956521739130434782608695652173913043478260869565217391304347826086956521739130434782608695652173913043478260869565217391304347826086956521739130434782608695652173913043478260869565217391304347826086956521739130434782608695652173913043478260869565217391304347826086956521739130434782608695652173913043478260869565217391304347826086956521739130434782608695652173913043478260869565217391304347826086956521739130434782608695652173913043478260869565217391304347826086956521739130434782608695652173913043478260869565217391304347826086956521739130434782608695652173913043478260869565217391304347826086956521739130434782608695652173913043478260869565217391304347826086956521739130434782608695652173913043478260869565217391304347826086956521739130434782608695652173913043478260869565217391304347826086956521739130434782608695652173913043478260869565217391304347826086956521739130434782608695652173913043478260869565217391304347826086956521739130434782608695652173913043478260869565217391304347826086956521739130434782608695652173913043478260869565217391304347826086956521739130434782608695652173913043478260869565217391304347826086956521739130434782608695652173913043478260869565217391304347826086956522,0.011157870981097586288730339801242014631952008070757994887988070568685971503600302975860912298638807112582869121977958821006888087811451796942750712476307204406805841832373303714255296796861998408642833994028366970281272215432169972917217947879897561319561610401721218175671717952561219694216770880404159369615301967762087924999181832394471483019712193979546881750460965331429162173558059995419772478998274661670107418040048707856512367394401800770721987505858223619132569277057072717314894704751079564616282058092830556129499655815960442128495050005947900224509669651958901872404558587861945930274697217959431493089647784307510473192572217869289352634511919162094518647537853933197137748801428389358324628651764302935004342295287725031021079119136047475228950480434780981673702124972775211076965883812415763803172995259164261438688127293730914105101214488264007403970277891881034468377138916799582086206949142602668512209420432429099745091941578044738379519662606009415308654101789654674170085985416329399605027152442385017996370935990523620404214995513562722534213164926947239978206243514413913914124270509416367194174211699098334253032203715162054903493767899721927950712574840745149399879414041404162709429650664181843840616725564291851120680880927709124944992118151451873621602729785814693852099988965850942032630365621727274357328405864237150032992512864818196335899670386307392460142169487314101130180868592531080852076002533281967204199226452816576315055896798936413013952212666341232291911650973339258030681016829801698056803467707921754275305500242209151223514725731461052933760542990185104429473146972666988322607999823468002315355017046809030926374743856481301828805990177653758690002838986721675460340779853134702953403567048271229071993387322454399190253827379848466888102357003477088731654054933203193231388666395056602853977268603465986958202287388476314713902125981095719804819356838480657322100300064510264515018134787043320893656417902547266269614587803909310906865378607869331937899,94,0E-22,montecarlo
6,45,2.9333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,0.208259320256459905129310049946169550863836066041772487641611258974483072952875665294701492008783734648814753179948973313760511276217248898392026074795147784116950769368605187772226311289615621597048631095477642332600112795142314900453449831937868575812315233590127015277120993314880060273926915807940391253673272982254841548187587629495920758382031034559257026677997197215487133188050813618608178276099723937032426258619758852784048599278459771785214741129046629416234018552419391557894604849678615796500340029107323309752688061613061891403857368846527610369437205883842959843419051341485134336071798667234793811930227494452438009424456275840303845388135107567891620096813216252037717458946355925590208686622778795688627530701084826480296441437976627185373878016666665039644716617726398399482762985261691126122013574969309188974920011351701928597854837676669804505419553254199875048087283844335813970264920157095422135397826229530549020454260418624448524447198837893473279668594543277862575883086865604761923867732152529945532602820048494634896968618701968519635662440289266080557916388441950145798182241523909120817362617496199783528394522555741765048421304131605985921727067594368337805676515490679525028270230374326771376848609622262865613434504116114922046441393513770714201312874713350925736157959980343695655818771418828723632690724704816860177920049096702254306914163139930580865939270936589463449021448302676008388307886591252981696952849641222373416505172161255253593662357593877464175969621987832011653869422626903147332165786548501464420233036474093209194529218485084241339557644439460466748313726682811915858839883881439016808108640235214828027824019218800142408516135105189990574060810001214429083529185650236152228765885888850939216920923554338457161268320133471655293899458452752451050494634643348120767620550453027617346730891791871784059651562750795155293612270908631951688877327852973410945288705861611713790380453627623031038583954134431324240629080557532499312662480057144694256799,169,0E-22,montecarlo
7,85,3.0588235294117647058823529411764705882352941176470588235294117647058823529411764705882352941176470588235294117647058823529411764705882352941176470588235294117647058823529411764705882352941176470588235294117647058823529411764705882352941176470588235294117647058823529411764705882352941176470588235294117647058823529411764705882352941176470588235294117647058823529411764705882352941176470588235294117647058823529411764705882352941176470588235294117647058823529411764705882352941176470588235294117647058823529411764705882352941176470588235294117647058823529411764705882352941176470588235294117647058823529411764705882352941176470588235294117647058823529411764705882352941176470588235294117647058823529411764705882352941176470588235294117647058823529411764705882352941176470588235294117647058823529411764705882352941176470588235294117647058823529411764705882352941176470588235294117647058823529411764705882352941176470588235294117647058823529411764705882352941176470588235294117647058823529411764705882352941176470588235294117647058823529411764705882352941176470588235294117647058823529411764705882352941176470588235294117647058823529411764705882352941176470588235294117647058823529411764705882352941176470588235294117647058823529411764705882352941176470588235294117647058823529411764705882352941176470588235294117647058823529411764705882352941176470588235294117647058823529411764705882352941176470588235294117647058823529411764705882352941176470588235294117647058823529411764705882352941176470588235294117647058823529411764705882352941176470588235294117647058823529411764705882352941176470588235294117647058823529411764705882352941176470588235294117647058823529411764705882352941176470588235294117647058823529411764705882352941176470588235294117647058823529411764705882352941176470588235294117647058823529411764705882352941176470588235294117647058823529411764705882352941176470588235294117647058823529411764705882352941176470588235294117647058823529411764705882352941176470588235294117647058823529411765,0.082769124178028532580290442103032295961875281728046997445532827601934053345032528039799531224470009158618674748576424294152668138962346937607712349304951705685578220348997344634971409328831307871558435017046269783580504952005059998492665518212378379733883861041107407433983738412919275960201425611861959881124253374411704293285626845182195268185952603186708007070154059960585172403737088128412099844727174917424583121364856891999734873788263693353842192109438786278979116591635077832404408771247243247480732185970068407791903747887571695325425996297508002526299950981882175529693561145406702963522779059391656557028266710138712519228377844467754825780291970312989659312499490761841639027573806905982365549367876834904313805210888748048923892418368784048118976055882351314154520539295025850463155142124436224161229261243818992896488638802682320754717582774709020191694063058121443675538264236492676715362959372781696645201747798158000000846417281369546563662885112403277201237221994258254732745831963643977610142241956451514160053800440651497642066657917654794145466361857893531538308545304695243837397927798418924738931244947180175685257267653780980734695813935527554549178047986525200550774554706365799538074151942954222357240766485007963652650190390624725968010020964751106358175619811390141422432469784265264283269751810985586377788763920503134687723970665329705287306320002675678905154957211099267370590075753656400545170631689292197383227359445143942043956152553412116338760396809563738685773543556459462634261579489648245371381472823011268341801663925073601351391963583123457025832154243382035375764707074968778603937923097125291317912561803842279008216176081545240447731821379699794495629437452194821240391930748275367915040395692772507844371903946495319906366359349157929803703380021379902030886791506093218806836236727537421268299519242852176216514307848834370979886780712553520316328308245130273690386745077297988300184375196250482018976110997176422279844766832042303234231107508125086413599,329,0E-22,montecarlo
8,161,3.1801242236024844720496894409937888198757763975155279503105590062111801242236024844720496894409937888198757763975155279503105590062111801242236024844720496894409937888198757763975155279503105590062111801242236024844720496894409937888198757763975155279503105590062111801242236024844720496894409937888198757763975155279503105590062111801242236024844720496894409937888198757763975155279503105590062111801242236024844720496894409937888198757763975155279503105590062111801242236024844720496894409937888198757763975155279503105590062111801242236024844720496894409937888198757763975155279503105590062111801242236024844720496894409937888198757763975155279503105590062111801242236024844720496894409937888198757763975155279503105590062111801242236024844720496894409937888198757763975155279503105590062111801242236024844720496894409937888198757763975155279503105590062111801242236024844720496894409937888198757763975155279503105590062111801242236024844720496894409937888198757763975155279503105590062111801242236024844720496894409937888198757763975155279503105590062111801242236024844720496894409937888198757763975155279503105590062111801242236024844720496894409937888198757763975155279503105590062111801242236024844720496894409937888198757763975155279503105590062111801242236024844720496894409937888198757763975155279503105590062111801242236024844720496894409937888198757763975155279503105590062111801242236024844720496894409937888198757763975155279503105590062111801242236024844720496894409937888198757763975155279503105590062111801242236024844720496894409937888198757763975155279503105590062111801242236024844720496894409937888198757763975155279503105590062111801242236024844720496894409937888198757763975155279503105590062111801242236024844720496894409937888198757763975155279503105590062111801242236024844720496894409937888198757763975155279503105590062111801242236024844720496894409937888198757763975155279503105590062111801242236024844720496894409937888198757763975155279503105590062111801242236024844720,0.038531570012691233587046057714285935678606998140422129335614413903363717937393485844014864098876720837727689884233221303216714396660597892498243076343568571990709686117937255291955883327361604075829215695412626818538603560965345555033092611126313618804661992082750831513769275836258656082180744647546151189390909212362135677485290217294969510769107681796850633777489345227577049006566163607064699570691166332118712457736348807671437943164604410409402236096626248430556871716731747158461502810776870745942724153087293667472984816233728998865293769869828497291018280658600104338775565635740538541774992223034357326786128613208017477117986788341890771589090565309955170793455934886678638648714099560952234377559415821288598142176761964409972709700739728922286577469875778024537477999250827273395083805628578025016702781138351266511622431712480266019122387996208042285470715896938841308020376611150728472799262037521555090275051617260341248696878297731659136008287704549590902526022433947810301963704024664389214848623955130509953939623015687559720008606970909327155227828861872635798191272013536396644881940670707856408310260350591106740756616160614342612034182410837078260467549382857335072170275399589626110446125733333684109693833441919329003542721556762924744448875637368002154794785742135616706906222214273281569854106427962166636460414011539247482535437445740809875280453837295092011907519953679687689694907804984447098234556472929212920024376031655473374385096989883462762445302861609078267094560206784965571803455219887742936985352167854643240222450068349854987665398492141431538289146450808684390402629424848539627702559182743177808868585437663018763066249932338573947591525350296551869003372193402548142143692196554738040385252827505168443534562988104607020926296843754017583947332437516700088221721464312334718921892611154577270246333881006062731238706400343561062495389546854590754186854341643566280384171985179176478770685088733076621871532408011739941565536419693173565184310833124456881901,644,0E-22,montecarlo
9,303,3.2739273927392739273927392739273927392739273927392739273927392739273927392739273927392739273927392739273927392739273927392739273927392739273927392739273927392739273927392739273927392739273927392739273927392739273927392739273927392739273927392739273927392739273927392739273927392739273927392739273927392739273927392739273927392739273927392739273927392739273927392739273927392739273927392739273927392739273927392739273927392739273927392739273927392739273927392739273927392739273927392739273927392739273927392739273927392739273927392739273927392739273927392739273927392739273927392739273927392739273927392739273927392739273927392739273927392739273927392739273927392739273927392739273927392739273927392739273927392739273927392739273927392739273927392739273927392739273927392739273927392739273927392739273927392739273927392739273927392739273927392739273927392739273927392739273927392739273927392739273927392739273927392739273927392739273927392739273927392739273927392739273927392739273927392739273927392739273927392739273927392739273927392739273927392739273927392739273927392739273927392739273927392739273927392739273927392739273927392739273927392739273927392739273927392739273927392739273927392739273927392739273927392739273927392739273927392739273927392739273927392739273927392739273927392739273927392739273927392739273927392739273927392739273927392739273927392739273927392739273927392739273927392739273927392739273927392739273927392739273927392739273927392739273927392739273927392739273927392739273927392739273927392739273927392739273927392739273927392739273927392739273927392739273927392739273927392739273927392739273927392739273927392739273927392739273927392739273927392739273927392739273927392739273927392739273927392739273927392739273927392739273927392739273927392739273927392739273927392739273927392739273927392739273927392739273927392739273927392739273927392739273927392739273927392739273927392739273927392739273927392739273927392739273927392739273927392739273927392739273927392739273927392739274,0.132334739149480688930095890647889855076757993364168106417794681619576332987718394111239102050622205945244652760645086092180082783188691695667379865798911621823643290037335406287179629304443784343545428310462951726805827798917091040140609574002725483593625360469278925316938412625713999132013678251465549340386132958339217857753006429910019835677374906034802379262596862190453460871355126975451227664494335468908167800786181741275357341315599634155379318276893964643171922041640014382699454556261978262905600564952082630841371344327532168002083225212878330224622200056751099562521542717920806257987607273359265594010366564953502584634949664753755560552458951838048973962592724342021688481647703480350385372783161798370778409892974579460297617967963966874032062577392740900949342788214195659923177608797714814472045830971284870431020582707704011996204568263924254900521040805206065545972122096258245435675673902310518458661579711063510385486333640781492069612207102700586126271999516128078018176319074989297482072861906875995061456585892099424508971975357437420958396965651327978848024205617455794795877164416684938588577976563206157065664883384852294357519289927799954672332338346225721600264078568726415565789175566267288029091984437143074980624901824479137359499200545635226392746531227243133669782634079062244938240634521765335773249869354589080416139356843891805099026430919475359728120135004004595956919145756729932205751519349341077708987744418183567177554233779338805812278236465528476418089783952762047752071171432502793261893619392092594985707557585312731399530187455509818066382949619945473845745679257782143547100710177966923785950765705379231378116574840605798185543270835404068831879784058191511510530220290357907177174708170555001377138482386255602244672273925934285300159947487841608355445959416057819826438855487566442059209702267534156534407843189798904112328323150773988905182078087620648460651888197794226803678952312971028367356639924974616353430325383061560093278114002261246337301,1244,0E-22,montecarlo
