,n,Pi,Fehler,Operationen,Laufzeit,Mantissenlänge
0,1,3.141592653589793238462643383587350688475866345996374315654905806801301450565203591105830910219290929081568436487086893567409961028317858086072809205711988513194092472346829270948630872606605731187540735805807986737347337821627344648090437229713018599278704315706396953384799127962307896878516257159975075828112733396627474930449361112537208451127125263001142132748108980760996974340210866997706852878,3.07847804278696946621268494679961214493485044278994592477796084877173861099420349973804586920316116418767275854347449797583507395743808369644890749843071227983656776257158771376997011071413891693151696414303654064441816690133055748782936604774344801314094503271256008018701351241106127081039300048928440149707954359411760895108551772736778450212176507818826720045765341268566942729634240408046907813882618067388206894881451925537620037250432648114247275108772061816988050870166326637559343356913978605053604775262809297820139056297229460782823706823247615325181532330594867999431872854736439172214228657242210390826362821278531559098775046569853450414628949207720310741076457980043887870978039135965581840186370225228690039481292788650000001627021950048940268267183903681404975540544653091697357477691746655314964738068811828989996862161247113412466791618579382822330852696401746509571244531268840437136117646212406248042218142219467828773193386998072123388804090783579801061904742798934514136721134063846618172031769698047964698147031004226377400586108750278224716520868484425142757545849304049170466883138272144110924901618245362535060680744939599072298328860990151175987141638396436292339895289818057044403801053232162550551744620225273152895952465353791953315740930508706686322971010847895247837943033975941961849806488746617569964412359752503526736085800727395730077203217645218363990658278358780075413684969713817025444293250161494505411413073004309072789202490697044678834655012797244039763519334500880118165202246433630192573457472137448181582425327109022227206199918352939983854750807826782785227649858558026431451838638842647447866524258150531561476676092605856665452237583137481016430514437900780777815727449745743112328209505398346533195011372767208213914215616172032023318545899046116213639049319935774874794882607015103915871511373054395758034714977789338813693255721377960805054952876286213039043635628082712532235342426037586109134167354004186609521972409901E-28,57,32.805919647216796875000,400
1,1,3.141592653589793238462643383587350688475866345996374315654905806801301450565203591105830910219290929081568436487086893567409961028317858086072809205711988513194092472346829270948630872606605731187540735805807986737347337821627344648090437229713018599278704315706396953384799127962307896878516257159975075828112733396627474930449361112537208451127125263001142132748108980760996974340210866997706852878,3.07847804278696946621268494679961214493485044278994592477796084877173861099420349973804586920316116418767275854347449797583507395743808369644890749843071227983656776257158771376997011071413891693151696414303654064441816690133055748782936604774344801314094503271256008018701351241106127081039300048928440149707954359411760895108551772736778450212176507818826720045765341268566942729634240408046907813882618067388206894881451925537620037250432648114247275108772061816988050870166326637559343356913978605053604775262809297820139056297229460782823706823247615325181532330594867999431872854736439172214228657242210390826362821278531559098775046569853450414628949207720310741076457980043887870978039135965581840186370225228690039481292788650000001627021950048940268267183903681404975540544653091697357477691746655314964738068811828989996862161247113412466791618579382822330852696401746509571244531268840437136117646212406248042218142219467828773193386998072123388804090783579801061904742798934514136721134063846618172031769698047964698147031004226377400586108750278224716520868484425142757545849304049170466883138272144110924901618245362535060680744939599072298328860990151175987141638396436292339895289818057044403801053232162550551744620225273152895952465353791953315740930508706686322971010847895247837943033975941961849806488746617569964412359752503526736085800727395730077203217645218363990658278358780075413684969713817025444293250161494505411413073004309072789202490697044678834655012797244039763519334500880118165202246433630192573457472137448181582425327109022227206199918352939983854750807826782785227649858558026431451838638842647447866524258150531561476676092605856665452237583137481016430514437900780777815727449745743112328209505398346533195011372767208213914215616172032023318545899046116213639049319935774874794882607015103915871511373054395758034714977789338813693255721377960805054952876286213039043635628082712532235342426037586109134167354004186609521972409901E-28,57,18.9568996429443359375000,400
2,1,3.141592653589793238462643383587350688475866345996374315654905806801301450565203591105830910219290929081568436487086893567409961028317858086072809205711988513194092472346829270948630872606605731187540735805807986737347337821627344648090437229713018599278704315706396953384799127962307896878516257159975075828112733396627474930449361112537208451127125263001142132748108980760996974340210866997706852878,3.07847804278696946621268494679961214493485044278994592477796084877173861099420349973804586920316116418767275854347449797583507395743808369644890749843071227983656776257158771376997011071413891693151696414303654064441816690133055748782936604774344801314094503271256008018701351241106127081039300048928440149707954359411760895108551772736778450212176507818826720045765341268566942729634240408046907813882618067388206894881451925537620037250432648114247275108772061816988050870166326637559343356913978605053604775262809297820139056297229460782823706823247615325181532330594867999431872854736439172214228657242210390826362821278531559098775046569853450414628949207720310741076457980043887870978039135965581840186370225228690039481292788650000001627021950048940268267183903681404975540544653091697357477691746655314964738068811828989996862161247113412466791618579382822330852696401746509571244531268840437136117646212406248042218142219467828773193386998072123388804090783579801061904742798934514136721134063846618172031769698047964698147031004226377400586108750278224716520868484425142757545849304049170466883138272144110924901618245362535060680744939599072298328860990151175987141638396436292339895289818057044403801053232162550551744620225273152895952465353791953315740930508706686322971010847895247837943033975941961849806488746617569964412359752503526736085800727395730077203217645218363990658278358780075413684969713817025444293250161494505411413073004309072789202490697044678834655012797244039763519334500880118165202246433630192573457472137448181582425327109022227206199918352939983854750807826782785227649858558026431451838638842647447866524258150531561476676092605856665452237583137481016430514437900780777815727449745743112328209505398346533195011372767208213914215616172032023318545899046116213639049319935774874794882607015103915871511373054395758034714977789338813693255721377960805054952876286213039043635628082712532235342426037586109134167354004186609521972409901E-28,57,16.4682865142822265625000,400
3,2,3.141592653589793238462643383279502884197167678854846287912727790370642977335176958726922911495373797085148288283429580938084201976736722782845176808063266464709427777612186511944343644032215434817364498373252736342848463373494607816555413528695806011321921142724234418075923552223154228912681187367465354354020634944118900064316068211487508245804880372571124210918677572683756535316687139790637867757,1.720520259533062216801937173428951032039901111913846743270896999798229852725709009642632813859448880182600065214652740856325089752009161216000590733520113017466055558239323084982754981040417231369636575395897823727424199225930534530774425059164694579061773808370232985971371469274817204852751341745845910483995321466149092652957865063931204697007161303643852433057270365759591953092186117381932611793105118548074462379962749567351885752724891227938183011949129833673362440656643086021394946395224737190702179860943702770539217176293176752384674818467669405132000568127145263560827785771342757789609173637178721468440901224953430146549585371050792279689258923542019956112129021960864034418159813629774771309960518707211349999998372978049951059731732816096318595024459455346908302642522308253344685035261931188171010003137838752886587533208381420617177669147303598253490428755468731159562863882353787593751957781857780532171226806613001927876611195909216420198938095257201065485863278865936153381827968230301952035301852968995773622599413891249721775283479131515574857242454150695950829533116861727855889075098381754637464939319255060400927701671139009848824012858361603563707660104710181942955596198946767837449448255379774726847104047534646208046684259069491293313677028989152104752162056966024058038150193511253382430035587640247496473263914199272604269922796782354781636009341721641219924586315030286182974555706749838505494588586926995690927210797509302955321165344987202755960236480665499119881834797753566369807426542527862551818417574672890977772793800081647060016145249192173217214772350141441973568548161361157352552133475741849468438523323907394143334547762416862518983569485562099219222184272550254256887671790494601653466804988627232791786085784383827967976681454100953883786360950680064225125205117392984896084128488626945604241965285022210661186306744278622039194945047123713786960956364371917287467764657573962413890865832645995813390478027590099E-42,99,15.6264305114746093750000,400
4,2,3.141592653589793238462643383279502884197167678854846287912727790370642977335176958726922911495373797085148288283429580938084201976736722782845176808063266464709427777612186511944343644032215434817364498373252736342848463373494607816555413528695806011321921142724234418075923552223154228912681187367465354354020634944118900064316068211487508245804880372571124210918677572683756535316687139790637867757,1.720520259533062216801937173428951032039901111913846743270896999798229852725709009642632813859448880182600065214652740856325089752009161216000590733520113017466055558239323084982754981040417231369636575395897823727424199225930534530774425059164694579061773808370232985971371469274817204852751341745845910483995321466149092652957865063931204697007161303643852433057270365759591953092186117381932611793105118548074462379962749567351885752724891227938183011949129833673362440656643086021394946395224737190702179860943702770539217176293176752384674818467669405132000568127145263560827785771342757789609173637178721468440901224953430146549585371050792279689258923542019956112129021960864034418159813629774771309960518707211349999998372978049951059731732816096318595024459455346908302642522308253344685035261931188171010003137838752886587533208381420617177669147303598253490428755468731159562863882353787593751957781857780532171226806613001927876611195909216420198938095257201065485863278865936153381827968230301952035301852968995773622599413891249721775283479131515574857242454150695950829533116861727855889075098381754637464939319255060400927701671139009848824012858361603563707660104710181942955596198946767837449448255379774726847104047534646208046684259069491293313677028989152104752162056966024058038150193511253382430035587640247496473263914199272604269922796782354781636009341721641219924586315030286182974555706749838505494588586926995690927210797509302955321165344987202755960236480665499119881834797753566369807426542527862551818417574672890977772793800081647060016145249192173217214772350141441973568548161361157352552133475741849468438523323907394143334547762416862518983569485562099219222184272550254256887671790494601653466804988627232791786085784383827967976681454100953883786360950680064225125205117392984896084128488626945604241965285022210661186306744278622039194945047123713786960956364371917287467764657573962413890865832645995813390478027590099E-42,99,1.0304450988769531250000,400
5,3,3.141592653589793238462643383279502884197169399375105820984947408020662452789717346364103622321101908145761958711621803830906632584385013272905572935094073834330282590695606206750878088977585378240037011885191871153021728219066382058814583197001500113002382543853527462773685309032298579988266777678454861105598783377566995878920457143999562634287177728456703671675065722241658665878144220118399050728,1.0002815712846046503508347736068796978984840163613872198339497183812787974834431041180213526965592716879998487993667685645318444354636423309655047456380895487088282090590733825027800031730298203856733976930067114163230982384085186381006528537181136518592177061978820997399536181170308542571813360564113311663735191692838199356760073166457539118566942729634240408046907813882618067388206894881451925537620037250432648114247275108772061816988050870166326637559343356913978605053604775262809297820139056297229460782823706823247615325181532330594867999431872854736439172214228657242210390826362821278531559098775046569853450414628949207720310741076457980043887870978039135965581840186370225228690039481292788650000001627021950048940268267183903681404975540544653091697357477691746655314964738068811828989996862161247113412466791618579382822330852696401746509571244531268840437136117646212406248042218142219467828773193386998072123388804090783579801061904742798934514136721134063846618172031769698047964698147031004226377400586108750278224716520868484425142757545849304049170466883138272144110924901618245362535060680744939599072298328860990151175987141638396436292339895289818057044403801053232162550551744620225273152895952465353791953315740930508706686322971010847895247837943033975941961849806488746617569964412359752503526736085800727395730077203217645218363990658278358780075413684969713817025444293250161494505411413073004309072789202490697044678834655012797244039763519334500880118165202246433630192573457472137448181582425327109022227206199918352939983854750807826782785227649858558026431451838638842647447866524258150531561476676092605856665452237583137481016430514437900780777815727449745743112328209505398346533195011372767208213914215616172032023318545899046116213639049319935774874794882607015103915871511373054395758034714977789338813693255721377960805054952876286213039043635628082712532235342426037586109134167354004186609521972409901E-56,151,42.6404476165771484375000,400
6,4,3.141592653589793238462643383279502884197169399375105820974944592307816346694690247717268165239156011010015587626276348861842488610571179341644709683629522262817640415169597382912458425256758526337041202027574511863839062153924537935291263652228206611677088285395351597829985702666638280267791051582465048125344152445029394772751571262973630942299124316362282710959409088261159289082595329675897987657,5.9591518750910766660102961056972132498887005957785251355998979402890080649724498958854632643687532341138193101219366190428593340762401236463802094383974551110298495519513042995297468560281528108750780468623981575113339469197558808676461662453870558780108769349699855623149416240051530307649051921442287661177438788817276043523952433057270365759591953092186117381932611793105118548074462379962749567351885752724891227938183011949129833673362440656643086021394946395224737190702179860943702770539217176293176752384674818467669405132000568127145263560827785771342757789609173637178721468440901224953430146549585371050792279689258923542019956112129021960864034418159813629774771309960518707211349999998372978049951059731732816096318595024459455346908302642522308253344685035261931188171010003137838752886587533208381420617177669147303598253490428755468731159562863882353787593751957781857780532171226806613001927876611195909216420198938095257201065485863278865936153381827968230301952035301852968995773622599413891249721775283479131515574857242454150695950829533116861727855889075098381754637464939319255060400927701671139009848824012858361603563707660104710181942955596198946767837449448255379774726847104047534646208046684259069491293313677028989152104752162056966024058038150193511253382430035587640247496473263914199272604269922796782354781636009341721641219924586315030286182974555706749838505494588586926995690927210797509302955321165344987202755960236480665499119881834797753566369807426542527862551818417574672890977772793800081647060016145249192173217214772350141441973568548161361157352552133475741849468438523323907394143334547762416862518983569485562099219222184272550254256887671790494601653466804988627232791786085784383827967976681454100953883786360950680064225125205117392984896084128488626945604241965285022210661186306744278622039194945047123713786960956364371917287467764657573962413890865832645995813390478027590099E-71,213,23.0300426483154296875000,400
7,5,3.141592653589793238462643383279502884197169399375105820974944592307816406286208998628395732194831867177390049639574689305510636004390747077231926891559216092522385944838404959506216032282787338210498562422351126498678715142015502925526103127074572801572878358196503032084164132683308114135974949622643667581149472789194437887608856872782790107042380331782394422554299680586476794987771914263668612065,3.60906852714799195241963126292382658416791394840164845506567483430734975072101842136466438400656387659838383280116597993540150832745269013539854691739319961803370892427229791273042683473709806035094720528714700481369942994142866473606263006087935909953536015327015963889804062542969150037656328466387767311727100455566942729634240408046907813882618067388206894881451925537620037250432648114247275108772061816988050870166326637559343356913978605053604775262809297820139056297229460782823706823247615325181532330594867999431872854736439172214228657242210390826362821278531559098775046569853450414628949207720310741076457980043887870978039135965581840186370225228690039481292788650000001627021950048940268267183903681404975540544653091697357477691746655314964738068811828989996862161247113412466791618579382822330852696401746509571244531268840437136117646212406248042218142219467828773193386998072123388804090783579801061904742798934514136721134063846618172031769698047964698147031004226377400586108750278224716520868484425142757545849304049170466883138272144110924901618245362535060680744939599072298328860990151175987141638396436292339895289818057044403801053232162550551744620225273152895952465353791953315740930508706686322971010847895247837943033975941961849806488746617569964412359752503526736085800727395730077203217645218363990658278358780075413684969713817025444293250161494505411413073004309072789202490697044678834655012797244039763519334500880118165202246433630192573457472137448181582425327109022227206199918352939983854750807826782785227649858558026431451838638842647447866524258150531561476676092605856665452237583137481016430514437900780777815727449745743112328209505398346533195011372767208213914215616172032023318545899046116213639049319935774874794882607015103915871511373054395758034714977789338813693255721377960805054952876286213039043635628082712532235342426037586109134167354004186609521972409901E-85,285,31.8534374237060546875000,400
8,6,3.141592653589793238462643383279502884197169399375105820974944592307816406286208998628034825342117065770378113763396398021111533715902089306265674288389712255347825884645335956681302600474584270772881918666484705866044952276752721467557871612269058219754765494916379948197203142469436696928503225761012724406144714595535567549783245109844323920940743579388558082562734967137801547218231698749510132550,2.211769972749885908625982310893648492925459685119738768862102458218056602564424257044148364684157500045762326269799888493851722926766228911553002143689390883072007080400413251184178776696678757023380261000180861891720052607331737675852984930170774620788504032277448595563411018919303152448202431379059433057270365759591953092186117381932611793105118548074462379962749567351885752724891227938183011949129833673362440656643086021394946395224737190702179860943702770539217176293176752384674818467669405132000568127145263560827785771342757789609173637178721468440901224953430146549585371050792279689258923542019956112129021960864034418159813629774771309960518707211349999998372978049951059731732816096318595024459455346908302642522308253344685035261931188171010003137838752886587533208381420617177669147303598253490428755468731159562863882353787593751957781857780532171226806613001927876611195909216420198938095257201065485863278865936153381827968230301952035301852968995773622599413891249721775283479131515574857242454150695950829533116861727855889075098381754637464939319255060400927701671139009848824012858361603563707660104710181942955596198946767837449448255379774726847104047534646208046684259069491293313677028989152104752162056966024058038150193511253382430035587640247496473263914199272604269922796782354781636009341721641219924586315030286182974555706749838505494588586926995690927210797509302955321165344987202755960236480665499119881834797753566369807426542527862551818417574672890977772793800081647060016145249192173217214772350141441973568548161361157352552133475741849468438523323907394143334547762416862518983569485562099219222184272550254256887671790494601653466804988627232791786085784383827967976681454100953883786360950680064225125205117392984896084128488626945604241965285022210661186306744278622039194945047123713786960956364371917287467764657573962413890865832645995813390478027590099E-99,367,32.637119293212890625000,400
9,8,3.141592653589793238462643383279502884197169399375105820974944592307816406286208998628034825342117067982148086513282306647093844524404865041576347234303112381491301622191828728901697937420558220376682332624260418651548435133696770560468616315611215603950418035640360479576719397040473518493303902347020295668070317726321744917062150405732076328801480968671545315074608869611044486892029692761861539131,8.5145717190149012173825368735958982480510109792203861707202390734553699631804550557014385010994778877673318166849659986305195230531283099869033734929607739875113956346794253428918936288589266429964458770557097177762913883399221045044936721660937775979629354454190079972478433057270365759591953092186117381932611793105118548074462379962749567351885752724891227938183011949129833673362440656643086021394946395224737190702179860943702770539217176293176752384674818467669405132000568127145263560827785771342757789609173637178721468440901224953430146549585371050792279689258923542019956112129021960864034418159813629774771309960518707211349999998372978049951059731732816096318595024459455346908302642522308253344685035261931188171010003137838752886587533208381420617177669147303598253490428755468731159562863882353787593751957781857780532171226806613001927876611195909216420198938095257201065485863278865936153381827968230301952035301852968995773622599413891249721775283479131515574857242454150695950829533116861727855889075098381754637464939319255060400927701671139009848824012858361603563707660104710181942955596198946767837449448255379774726847104047534646208046684259069491293313677028989152104752162056966024058038150193511253382430035587640247496473263914199272604269922796782354781636009341721641219924586315030286182974555706749838505494588586926995690927210797509302955321165344987202755960236480665499119881834797753566369807426542527862551818417574672890977772793800081647060016145249192173217214772350141441973568548161361157352552133475741849468438523323907394143334547762416862518983569485562099219222184272550254256887671790494601653466804988627232791786085784383827967976681454100953883786360950680064225125205117392984896084128488626945604241965285022210661186306744278622039194945047123713786960956364371917287467764657573962413890865832645995813390478027590099E-128,561,46.8676090240478515625000,400
