"X","n","Pi","Fehler","Operationen","Laufzeit","k","sd","var"
5,22122,3.1514329626616,0.00984030907181059,87149,15.6235694885254,2,0.0110127033680221,0.000121279635472046
6,25929,3.14998650160052,0.00839384801073127,102099,31.7599773406982,2,0.00747372194897741,5.58565197706267e-05
7,30391,3.14540488960548,0.00381223601568207,119494,15.5065059661865,2,0.0135462124197493,0.00018349987092097
8,35622,3.16141710179103,0.0198244482012348,140774,31.2511920928955,2,0.0106690817822255,0.000113829306075816
9,41753,3.13242162239839,0.0091710311914027,163489,46.8699932098389,2,0.00638948839888021,4.08255619994248e-05
10,48939,3.13451439547191,0.00707825811787922,191754,31.6338539123535,2,0.00829452752755447,6.87991869053588e-05
11,57361,3.14792280469308,0.00633015110329091,225714,46.8685626983643,2,0.00993396141104189,9.86835893160693e-05
12,67233,3.13292579536835,0.00866685822144734,263299,78.2463550567627,2,0.00667910247156906,4.46104098257199e-05
13,78804,3.15156591035988,0.00997325677008697,310449,65.7901763916016,2,0.00655714213104045,4.29961129266657e-05
14,92367,3.1455822967077,0.0039896431179054,363189,84.630012512207,2,0.00335816783171773,1.12772911859837e-05
15,108263,3.14988500226301,0.00829234867321444,426274,87.6541137695312,2,0.00612584353004378,3.75259589545793e-05
16,126896,3.1513680494263,0.00977539583650862,499874,112.829446792603,2,0.00408484408376809,1.66859511886952e-05
17,148735,3.14521800517699,0.0036253515871994,584759,122.764348983765,2,0.00320314642006448,1.02601469883719e-05
18,174332,3.14232613633756,0.000733482747769573,684764,144.946098327637,2,0.0035181880183954,1.2377646932781e-05
19,204335,3.14522720043067,0.00363454684087209,803354,172.633647918701,2,0.00409325900321617,1.67547692674103e-05
20,239502,3.14046646792094,0.0011261856688573,940189,204.149007797241,2,0.00366498534143714,1.34321175529491e-05
21,280721,3.14111163753335,0.000481016056441619,1102224,236.837863922119,2,0.00259250479197437,6.72108109641006e-06
22,329034,3.13915279272051,0.00243986086928411,1291114,282.369136810303,2,0.00186870594123173,3.49206189479476e-06
23,385662,3.14326016045138,0.00166750686158647,1515299,317.896604537964,2,0.00278743061843369,7.7697694525816e-06
24,452035,3.14108420808123,0.000508445508560591,1774854,377.418518066406,2,0.0025331843397834,6.41702289932384e-06
25,529831,3.14320604117162,0.00161338758182564,2081714,445.003509521484,2,0.00190266469243363,3.62013293183357e-06
26,621016,3.14374508869337,0.00215243510357376,2440399,530.526876449585,2,0.00219526229072764,4.81917652509077e-06
27,727895,3.14307420713152,0.00148155354172985,2859789,599.784851074219,2,0.00192242679655581,3.69572478811584e-06
28,853167,3.14265788526748,0.00106523167768663,3351519,710.988998413086,2,0.0021627488836013,4.67748273351869e-06
29,1000000,3.142056,0.000463346410206762,3927574,868.834972381592,2,0.00138763299662887,1.92552533333323e-06
0,10000,3.132,0.00959265358979324,39154,0,3,0.00902106177539844,8.13795555555549e-05
1,11721,3.14307652930637,0.00148387571657994,46054,15.6893730163574,3,0.0140985787118496,0.000198769921694219
2,13738,3.1326248362207,0.00896781736909153,53799,15.6395435333252,3,0.0182829468340128,0.000334266144935337
3,16102,3.14395727238852,0.00236461879872993,63284,15.6135559082031,3,0.0134533755211227,0.000180993312912345
4,18873,3.1331531817941,0.00843947179569585,73919,15.6173706054688,3,0.0136881737509215,0.000187366100635416
5,22122,3.13805261730404,0.00354003628575201,86779,15.6354904174805,3,0.0110127033680221,0.000121279635472046
6,25929,3.14289020016198,0.00129754657218756,101869,16.1752700805664,3,0.00747372194897741,5.58565197706267e-05
7,30391,3.12882103254253,0.0127716210472642,118864,31.2552452087402,3,0.0135462124197493,0.00018349987092097
8,35622,3.12941440682724,0.0121782467625516,139349,15.632152557373,3,0.0106690817822255,0.000113829306075816
9,41753,3.14727085478888,0.00567820119908421,164264,46.8559265136719,3,0.00638948839888021,4.08255619994248e-05
10,48939,3.14375038313002,0.00215772954022576,192319,31.8484306335449,3,0.00829452752755447,6.87991869053588e-05
